,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
449,뷰티,"[누적1억신화]후기로 검증된 신개념 ""여성청결제' 이너샤인, 냄새안녕!!",에폴리시스템,3783%,"18,917,000원","500,000원",395,329,"[누적1억앵콜 / 만족도5.0만점] 수많은 후기로 검증된""여성청결제"" #착한성분# 냄새# 분비물에 효과적인 이너 여성청결제를 위생과 편리성에 집중된 신개념 용기로 1알에 행복!!!",2020.12.09-2021.01.11,None
450,뷰티,후기: 과장이라 생각했는데 하루만에 효과가 나타났어요! <발각질 끝장템>,스키노베이션,3174%,"15,873,000원","500,000원",236,233,"사는 게 바쁜데 발각질을 어떻게 꾸/준/히 관리하겠어요? 딱 1번만 사용해도 각질이 술술 밀려나오는 전설적인 풋크림을 만든 #바레도, 속각질까지 잡으러 풋세럼 들고 왔습니다!",2020.11.25-2020.12.14,None
451,뷰티,"지친 하루, 당신의 피로를 버블버블 거품속으로!(샤워밤 & 입욕제)",구뜨앙쥬,1404%,"7,021,000원","500,000원",91,70,"피곤하고 지친 나를 위한 고함량의 버블버블,
구뜨앙쥬(Goutteange) 'Live Young Live Pure'를 경험하세요",2020.07.13-2020.07.30,None
452,뷰티,"[7천원의 행복 !] 영양 오일성분 촉촉, 착색괴물 타투립스틱!!",S&G글로벌,1318%,"6,591,000원","500,000원",72,35,"7천원으로 만나보는 발색력과 지속력 및 입술건강까지 고민하여 영양보습성분 듬뿍 담은 타투 립스틱입니다 
고급 원터치 방식의 용기로 프리미엄급으로 제작되였습니다",2020.09.11-2020.09.18,None
453,뷰티,"[1억신화/4.9앵콜 아이크림] 단하루,1캡슐 사용만으로 달라지는 피부 ",더 블레스문(THE BLESSEDMOON),3789%,"18,945,260원","500,000원",208,173,"[1억신화/평점4.9앵콜] 6가지 영양 비타민이 들어간 '슈퍼캡슐 (아이크림)' 내 소중한 피부를 위해 매일 매일 프레시 하게, 1일 1비타민 하세요.",2020.08.10-2020.08.19,None
454,뷰티,평온함이 밀려오는 휴식 같은 일상 힐링 뷰티 어글리프루프,어글리프루프(주),322%,"3,220,500원","1,000,000원",44,33,치열한 일상 속 스트레스 어글리(UGLY)로부터 아름다움을 지키기 위해(PROOF) 불필요한 단계를 빼고(-) 힐링에 좋은 성분을 더한(+) 아름다운 에이징을 위한 스킨케어,2020.06.30-2020.07.25,None
455,뷰티,1억펀딩 / 평점4.6앵콜 l 특허성분2배 업그레이드 #닥터시드부스터,닥터시드,2305%,"11,526,700원","500,000원",338,201,샴푸 upgrade! 그리고 부스터 upgrade !특허성분을 2배 더! 추가해 업그레이드 된 성분으로 불편한 두피를 케어하는 와디즈 스페셜 에디션 솔루션 부스터 플러스,2020.06.22-2020.07.06,None
456,뷰티,싸다구 비타민 유도체와 방부제를 바르실건가요?,주식회사 무스코코알앤디,52%,"260,000원","500,000원",10,23,순수 비타민C를 그대로 담은 세럼이 있다!?비타민C 유도체를 사용하지 않고 순수 비타민을 그대로 담아 피부 미백부터 주름 개선까지!  무스코코 더마VC세럼 퓨어골드로 피부관리 끝!,2021.04.19-2021.05.03,None
457,뷰티,M8 프로폴리스 치약_턴오프유어티비 한정판,비컴,1348%,"6,740,000원","500,000원",126,54,M8 치약 - 잇몸 질환 및 구취 제거를 위한 확실한 선택,2019.12.20-2019.12.31,None
458,뷰티,"피부에 수분과 보습력을, 2년간 2억으로 개발한 식물성 천연화장품!",(주)에코바이오의학연구소,763%,"3,815,800원","500,000원",126,88,"(주)에코바이오의학연구소에서 2년간 2억원을 투자하여 연구개발한 친환경 천연 화장품입니다. 임상시험을 통해 기능 및 효능을 입증했습니다. 꿀피부, 갖고싶으세요? 지금 시작하세요!",2018.08.20-2018.09.09,None
459,뷰티,"난 앰플로 샤워해! 피부에 맞는 앰플을 넣어 한번에 케어, 명품 바디워시",꼬르메꾸시 주식회사,1016%,"5,080,700원","500,000원",88,106,"피부고민 때문에 기초케어는 좋다는 제품들 다 모으고, 정작 바디워시는 아무거나 고르진 않으셨나요?
고민에 맞는 앰플을 붓고 흔드는 순간, 당신의 피부는 새롭게 태어날 거에요.",2020.08.17-2020.08.31,None
460,뷰티,"[벨라랩] 엄마가 딸에게 보내는 여성청결제, 락토벨라S 지고지순 ",벨라랩,3088%,"30,888,200원","1,000,000원",307,133,"좋은 건 다 주고 싶은 엄마 마음에 자연 유래 성분과 락토바실러스 발효물을 담았어요. 소중한 Y존 고민, 혼자만 앓지 마세요. 나의 딸을 위해 만든 여성청결제, 락토벨라S 지고지순
    외면의 아름다움 뷰티아웃사이드 파트너와 함께합니다.",2019.02.13-2019.03.03,None
461,뷰티,백지: 당신의 기억을 담아드립니다. 한국인의 기억 속 그 향,백지,266%,"2,665,696원","1,000,000원",199,202,"한국에 살고 있는, 우리들의 기억을 담은 향수. 백지
여러분의 기억을 담아드립니다.",2018.04.13-2018.05.23,None
462,뷰티,보통의 남자들을 위한 스킨케어 구독 서비스 ordergray,ordergray,36%,"1,813,100원","5,000,000원",119,46,보통의 남성들을 위한 스킨케어 구독서비스 오더그레이,2019.05.27-2019.06.10,펀딩성공
463,뷰티,향수 끊었어요ㅣ26원으로 씻고 바르는 향기 #더블유드레스룸 핸드워시&크림,(주)트랜드아이,588%,"2,942,400원","500,000원",164,117,"귀찮아지실 거예요. 손 씻을 때마다, 핸드크림 바를 때마다 무슨 향수 쓰는지 물어볼 테니까요. 한 번 쓸 때 26원만 투자하세요. '국민 향기 브랜드' 더블유드레스룸이니까!",2021.03.25-2021.04.26,None
