,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
41,여행·레저,[지금이니까 만날수 있는 가격] 추석에 푸꾸옥으로 떠나자! 항공권 펀딩,(주)인터파크,14%,"5,586,000원","39,900,000원",16,25,"""100명만 모이면 뜬다"" 포스트 코로나 시대를 여행하는 새로운 여행법-내가 직접 유치하는 항공기 펀딩, 얼리버드&추석 황금연휴 출발",2021.03.24-2021.04.05,펀딩성공
42,여행·레저,가족과 함께하는 즐거운 낚시여행 만들기 - 반디불이,트레스테크(주),265%,"13,285,000원","5,000,000원",130,64,"이젠 낚시도  ""IoT 시대"" ... 전자케미,어신기를 하나로 

    서울산업진흥원 파트너와 함께합니다.",2017.08.17-2017.09.18,None
43,여행·레저,분실방지 스마트 패션 악세사리 - 루퍼 태슬(Looper Tassel),IDIO Creative Works,403%,"12,099,000원","3,000,000원",275,137,"루퍼는 당신의 소중한 시간과 물건을 지킬 수 있도록 도와주는 스마트 패션 악세서리입니다. 스마트폰과 연동되며 이탈리아산 최고급 가죽, 쥬얼리 세공, 핸드메이드를 통해 제작 됩니다.",2016.11.22-2017.01.08,None
44,여행·레저,미니멀한 캠핑을 위한 컴팩트라이트 체어&테이블,진스포츠,228%,"6,855,000원","3,000,000원",59,94,캠핑족을 위한 미니멀 아이템! 컴팩트 경량 체어와 테이블로 캠핑의 즐거움을 더욱 느껴보세요!,2020.09.23-2020.10.05,None
45,여행·레저,여행기억상자: 보르네오 반딧불 에디션,권윤정,7%,"221,000원","3,000,000원",15,4,"여행에 카메라만 챙기시나요? 여행을 기억하고 감상을 기록할 수 있는, 노트와 펜, 엽서, 배기지 스티커가 담긴 '여행기억상자'를 만나보세요. 보르네오 섬 산림보호를 위한 베이비나무심기에도 동참하는 착한 프로젝트.",2016.01.25-2016.02.26,펀딩성공
46,여행·레저,[추석여행]    필리핀 보홀직항_힐링여행_떠나보세요  ,주식회사 넘버원투어,199%,"1,998,000원","1,000,000원",12,25,"필리핀의 숨겨진 지상낙원,   자연 그대로의 섬 보홀로의  여행 어떠신가요?   많이 기다려온 여행인 만큼 잘 준비해서 떠나봐요!",2021.03.24-2021.04.26,None
47,여행·레저,카니멀라이프.우드 테이블 : 내 차 안에서 즐기는 우리만의 홈카페,토요요(TOYOYO),778%,"7,785,500원","1,000,000원",153,294,"아슬아슬 흘러내릴까, 어디에 둬야 할지 갈 곳 잃은 손이 불편했던 적 있나요? 새로운 솔루션으로 공간의 편리함과 홈 카페 감성을 담은 카니멀라이프 우드 테이블을 경험해 보세요",2020.10.07-2020.11.03,None
48,여행·레저,"충전하는 셀카봉, 한국신제품 하이브리드 충전셀카봉 브라보!",(주)커뮤니케이션 소리,178%,"5,369,500원","3,000,000원",127,47,"신개념 충전셀카봉 브라보!! 
입고 및 배송준비 완료.
2월부터 www.bravo1.co.kr에서 만나보실 수 있습니다.",2017.12.28-2018.01.28,None
49,여행·레저,[분실 걱정 끝]스마트 분실방지 여권 케이스로 즐거운 여행 되세요~,헤이통주식회사,434%,"4,348,200원","1,000,000원",53,77,"멋진 여행을 위한 출발~ 도난 이나 분실 걱정 해보시지는 않으셨나요? 
이제 걱정 하지 마세요, 분실 방지 스마트 여권 케이스와 네임텍이 지켜 드릴게요

    서울산업진흥원 파트너와 함께합니다.",2018.09.18-2018.10.22,None
50,여행·레저,"[평점5.0 앵콜] 5분만에 설치하는 차박텐트, 캠핑 이렇게 쉽다구요?",(주)컨머스,22653%,"226,535,000원","1,000,000원","1,179",1429,"감성차박캠핑, 어렵지 않아요, 5분만에 완성하는 우리만의 차박여행",2021.02.24-2021.03.22,None
51,여행·레저,[최초 항공권펀딩] 베트남 달랏 항공권+호텔3박이 40만원대?!,(주)트래블비드,4540%,"43,590,000원","960,000원",57,133,"왜 항상 전세기 좌석은 임박해서 특가로 팔아야 하나?
임박특가 부럽지 않은 진짜 특가로 ""인생샷 여행지"" 베트남 달랏 대한항공 전세기 [얼리버드 프로젝트]를 진행합니다",2019.05.22-2019.05.29,None
