,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
57,공연·컬쳐,[서울] 문화가 세상을 바꾼다 [소극장 젊은예술가들의장터],예장프로덕션,112%,"5,622,000원","5,000,000원",83,16,"마시고 노는 연신내에서 문화 한잔 하시겠습니까?
연신내에 소극장을 만들어 문화를 우리 집앞까지 배달해드립니다.
    지역사랑크라우드펀딩대회 파트너와 함께합니다.",2016.06.01-2016.06.30,None
58,공연·컬쳐,사진의 기준을 바꾸는 '포쉬스튜디오'의 뷰티 & 플라워 화보 컨셉 촬영,포쉬스튜디오,938%,"4,690,000원","500,000원",24,36,29년의 노하우로 빚어내는 라인의 아름다움 뷰티화보와 어디서도 만나본적 없는 플라워 아트 콜라보레이션 화보 지금 포쉬스튜디오에서 만나보세요,2020.06.22-2020.06.29,None
59,공연·컬쳐,우리가 좋아하는 영화 속 장면에 기록되기 <#01.나홀로 크리스마스>,어거스트썸띵,583%,"5,834,000원","1,000,000원",83,99,"좋아하는 영화, 혹은 책의 한 장면에 내가 들어갈 수 있다면?
특별한 장면 속에서 혼자, 혹은 소중한 사람들과 함께 사진을 남겨보세요.
분명 환상적인 한 장면이 만들어질 거예요.",2020.11.23-2020.12.14,None
60,공연·컬쳐,Latin Jazz Band 'Triomenon' 첫 번째 앨범,트리오메논,114%,"3,430,000원","3,000,000원",66,26,"세상을 변화시키는 최소 단위 3과, 그들이 만드는 현상을 의미하는 Triomenon은 음악을 통해 사람들에게 좋은 영향력이 흘러가길, 조금 더 좋은 세상이 되길 바라는 밴드입니다.",2017.10.23-2017.11.17,None
61,공연·컬쳐,테이프로 인물화를 만들어내는 아티스트 조윤진 원화 소장 프로젝트,gallery DOO,202%,"2,020,000원","1,000,000원",2,15,당신이 애정하는 인물을 테이프로 그리다. 한국을 대표하는 테이프 아티스트 조윤진 작가의 생동감 넘치는 단 하나뿐인 원화 작품을 소장하세요!,2020.04.07-2020.04.20,None
62,공연·컬쳐,2019 뮤니브 콘서트,대학생 문화기획단체 뮤니브,106%,"3,200,000원","3,000,000원",78,23,"일상을 탈피해 열정 속으로, 20대가 만드는 무대

: 2019 뮤니브 콘서트 “불난 집에 부채질”",2019.03.27-2019.04.21,None
63,공연·컬쳐,퀴어영화  〈 뷰티풀 〉,99film,6%,"300,000원","5,000,000원",7,10,〈퀴어영화 뷰티풀〉 후반제작 펀딩 프로젝트에 여러분의 목소리를 함께해주세요,2017.02.01-2017.03.31,펀딩성공
64,공연·컬쳐,"2,500명이 거쳐간 스냅 장인 <지니스타일>의 프로필 최초 단독런칭",지니스타일,674%,"6,743,000원","1,000,000원",73,71,"지니 스타일이 추구하는 사진은 지속성입니다.
수명이 긴 사진을 추구합니다. 언젠가 다시 꺼내서 바라볼 때
당신이 남겨놓은 시간의 틈새로 다시 돌아갈 수 있게끔.",2020.06.25-2020.07.06,None
65,공연·컬쳐,[5점만점 앵콜] 수중으로 떠나는 여름휴가!! 버킷리스트 완성하세요,아쿠아루체,2960%,"29,600,000원","1,000,000원",52,58,"남들과 똑같은 사진은 필요없다!!
나만의 독특한 [수중촬영]에 도전하세요
몽환적이고 아름다운 사진을 선물 합니다.",2021.04.25-2021.05.13,None
66,공연·컬쳐,"아날로그 즉석필름 사진관 ""사진의 즉시성""",사진의 즉시성,80%,"400,000원","500,000원",12,15,"아날로그 즉석사진관 ""사진의 즉시성""",2018.11.21-2018.12.15,15일 남음
